CMDLINE /Users/jordandavis/miniconda3/envs/hgrnenv/bin/python /Users/jordandavis/Documents/HGRN_repo_fork/run_sim.py
MEM 264.808594 1755564728.9305
MEM 265.195312 1755564729.0307
MEM 265.734375 1755564729.1323
MEM 266.500000 1755564729.2344
MEM 266.925781 1755564729.3372
MEM 268.425781 1755564729.4406
MEM 268.996094 1755564729.5452
MEM 269.800781 1755564729.6492
MEM 271.328125 1755564729.7514
MEM 272.910156 1755564729.8518
MEM 274.894531 1755564729.9557
MEM 277.359375 1755564730.0634
MEM 279.457031 1755564730.1674
MEM 281.082031 1755564730.2727
MEM 281.406250 1755564730.3771
MEM 282.445312 1755564730.4803
MEM 283.796875 1755564730.5828
MEM 285.785156 1755564730.6832
MEM 287.636719 1755564730.7844
MEM 289.238281 1755564730.8889
MEM 292.773438 1755564730.9930
MEM 288.855469 1755564731.0952
MEM 289.128906 1755564731.1977
MEM 291.210938 1755564731.3027
MEM 294.671875 1755564731.4056
MEM 295.617188 1755564731.5058
MEM 298.632812 1755564731.6110
MEM 300.160156 1755564731.7163
MEM 301.945312 1755564731.8190
MEM 302.074219 1755564731.9225
MEM 304.257812 1755564732.0231
MEM 306.304688 1755564732.1244
MEM 307.316406 1755564732.2284
MEM 309.089844 1755564732.3290
MEM 311.226562 1755564732.4298
MEM 313.375000 1755564732.5337
MEM 316.214844 1755564732.6357
MEM 316.183594 1755564732.7369
MEM 317.988281 1755564732.8395
MEM 323.207031 1755564732.9398
MEM 320.343750 1755564733.0450
MEM 323.417969 1755564733.1453
MEM 325.023438 1755564733.2457
MEM 327.898438 1755564733.3510
MEM 328.148438 1755564733.4559
MEM 328.285156 1755564733.5585
MEM 328.910156 1755564733.6599
MEM 332.742188 1755564733.7644
MEM 338.546875 1755564733.8728
MEM 348.785156 1755564733.9732
MEM 380.617188 1755564734.0783
MEM 377.699219 1755564734.1789
MEM 402.550781 1755564734.2792
MEM 401.199219 1755564734.3844
MEM 390.511719 1755564734.4847
MEM 430.164062 1755564734.5889
MEM 464.851562 1755564734.6892
MEM 442.187500 1755564734.7898
MEM 437.082031 1755564734.8918
MEM 418.648438 1755564734.9956
MEM 419.542969 1755564735.0996
MEM 432.285156 1755564735.2004
MEM 429.273438 1755564735.3076
MEM 418.777344 1755564735.4118
MEM 422.742188 1755564735.5149
MEM 424.074219 1755564735.6170
MEM 420.500000 1755564735.7214
MEM 442.605469 1755564735.8249
MEM 437.968750 1755564735.9287
MEM 422.238281 1755564736.0331
MEM 424.367188 1755564736.1344
MEM 430.054688 1755564736.2390
MEM 430.375000 1755564736.3415
MEM 423.222656 1755564736.4453
MEM 428.500000 1755564736.5497
MEM 428.453125 1755564736.6546
MEM 425.042969 1755564736.7585
MEM 446.746094 1755564736.8617
MEM 443.734375 1755564736.9663
MEM 426.203125 1755564737.0680
MEM 428.394531 1755564737.1684
MEM 433.175781 1755564737.2721
MEM 437.980469 1755564737.3759
MEM 427.937500 1755564737.4765
MEM 452.535156 1755564737.5800
MEM 448.292969 1755564737.6846
MEM 429.644531 1755564737.7892
MEM 426.937500 1755564737.8914
MEM 435.703125 1755564737.9956
MEM 438.304688 1755564738.0987
MEM 464.164062 1755564738.2016
MEM 479.929688 1755564738.3019
MEM 482.167969 1755564738.4056
MEM 485.242188 1755564738.5087
MEM 492.636719 1755564738.6125
MEM 494.441406 1755564738.7128
MEM 495.335938 1755564738.8161
MEM 496.207031 1755564738.9169
MEM 496.382812 1755564739.0200
MEM 496.480469 1755564739.1225
MEM 498.109375 1755564739.2233
MEM 500.183594 1755564739.3248
MEM 491.750000 1755564739.4281
MEM 493.554688 1755564739.5287
MEM 495.640625 1755564739.6326
MEM 484.476562 1755564739.7330
MEM 485.617188 1755564739.8349
MEM 486.445312 1755564739.9392
MEM 486.898438 1755564740.0428
MEM 487.113281 1755564740.1476
MEM 487.527344 1755564740.2520
MEM 487.800781 1755564740.3559
MEM 488.167969 1755564740.4600
MEM 488.472656 1755564740.5643
MEM 488.765625 1755564740.6681
MEM 464.675781 1755564740.7692
MEM 464.796875 1755564740.8726
MEM 465.605469 1755564741.0001
MEM 466.433594 1755564741.1046
MEM 467.375000 1755564741.2059
MEM 472.156250 1755564741.3075
MEM 473.007812 1755564741.4118
MEM 492.031250 1755564741.5160
MEM 492.152344 1755564741.6164
MEM 492.351562 1755564741.7187
MEM 492.652344 1755564741.8226
MEM 492.878906 1755564741.9265
MEM 493.402344 1755564742.0291
MEM 494.222656 1755564742.1294
MEM 494.925781 1755564742.2298
MEM 495.320312 1755564742.3339
MEM 495.429688 1755564742.4357
MEM 495.496094 1755564742.5632
MEM 495.550781 1755564742.6654
MEM 495.621094 1755564742.7684
MEM 495.757812 1755564742.8726
MEM 495.882812 1755564742.9771
MEM 496.535156 1755564743.0808
MEM 497.503906 1755564743.1828
MEM 498.222656 1755564743.2862
MEM 498.984375 1755564743.3879
MEM 499.746094 1755564743.4903
MEM 518.539062 1755564743.5951
MEM 518.734375 1755564743.6975
MEM 518.957031 1755564743.7978
MEM 519.207031 1755564743.8999
MEM 519.328125 1755564744.0008
MEM 520.343750 1755564744.1059
