,method,data_type,k_middle,k_top,graph_type,connect_type,stdev,modularity_mid,modularity_top,node_degree_within_middle,node_degree_between_middle,node_degree_within_top,node_degree_between_top
152,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.5120816381902409,0.7946579734125175,199.0,10.2,1025.4,0.0
153,silouette,reg_balanced,13,5,small_world,disc,05,0.5120816381902409,0.7946579734125175,199.0,10.2,1025.4,0.0
154,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.5583174882942549,0.7961265110648226,198.26666666666668,8.40952380952381,948.0,0.0
155,silouette,reg_balanced,14,5,small_world,disc,05,0.5583174882942549,0.7961265110648226,198.26666666666668,8.40952380952381,948.0,0.0
156,bethe_hessian,reg_balanced,15,8,small_world,disc,05,0.6375566161043054,0.7950732123208687,199.86666666666667,5.928571428571429,848.6,0.0
157,silouette,reg_balanced,15,8,small_world,disc,05,0.6375566161043054,0.7950732123208687,199.86666666666667,5.928571428571429,848.6,0.0
158,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.42095832737358585,0.7696694534099772,199.8,14.371428571428572,1203.0,0.0
159,silouette,reg_balanced,11,5,small_world,disc,05,0.42095832737358585,0.7696694534099772,199.8,14.371428571428572,1203.0,0.0
160,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.4739336050689169,0.7831511701516695,198.06666666666666,11.68095238095238,1084.8,0.0
161,silouette,reg_balanced,21,9,small_world,disc,05,0.4739336050689169,0.7831511701516695,198.06666666666666,11.68095238095238,1084.8,0.0
162,bethe_hessian,reg_balanced,13,7,small_world,disc,05,0.5132592036873495,0.7938996167999376,198.13333333333333,10.10952380952381,1019.0,0.0
163,silouette,reg_balanced,13,5,small_world,disc,05,0.5132592036873495,0.7938996167999376,198.13333333333333,10.10952380952381,1019.0,0.0
164,bethe_hessian,reg_balanced,13,7,small_world,disc,05,0.5530163818910734,0.795016981495422,198.4,8.59047619047619,956.0,0.0
165,silouette,reg_balanced,15,5,small_world,disc,05,0.5530163818910734,0.795016981495422,198.4,8.59047619047619,956.0,0.0
166,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.4454059536302042,0.782239339054872,199.33333333333334,13.209523809523809,1152.8,0.0
167,silouette,reg_balanced,11,5,small_world,disc,05,0.4454059536302042,0.782239339054872,199.33333333333334,13.209523809523809,1152.8,0.0
168,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.5062911670164009,0.7774584219942625,197.93333333333334,10.176190476190476,1021.2,0.0
169,silouette,reg_balanced,10,5,small_world,disc,05,0.5062911670164009,0.7774584219942625,197.93333333333334,10.176190476190476,1021.2,0.0
170,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.4321392125332501,0.7699675260644138,198.4,13.666666666666666,1169.0,0.05
171,silouette,reg_balanced,18,10,small_world,disc,05,0.4321392125332501,0.7699675260644138,198.4,13.666666666666666,1169.0,0.05
172,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.4306324779167981,0.7913518882518159,196.46666666666667,13.99047619047619,1177.0,0.0
173,silouette,reg_balanced,11,5,small_world,disc,05,0.4306324779167981,0.7913518882518159,196.46666666666667,13.99047619047619,1177.0,0.0
174,bethe_hessian,reg_balanced,13,7,small_world,disc,05,0.49616354795403145,0.7764960247641897,198.46666666666667,10.647619047619047,1042.6,0.0
175,silouette,reg_balanced,28,14,small_world,disc,05,0.49616354795403145,0.7764960247641897,198.46666666666667,10.647619047619047,1042.6,0.0
176,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.49649047986714073,0.7948025319037353,197.86666666666667,10.81904761904762,1048.0,0.0
177,silouette,reg_balanced,31,13,small_world,disc,05,0.49649047986714073,0.7948025319037353,197.86666666666667,10.81904761904762,1048.0,0.0
178,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.4825649482338396,0.7959343858910379,196.33333333333334,11.39047619047619,1067.4,0.0
179,silouette,reg_balanced,26,5,small_world,disc,05,0.4825649482338396,0.7959343858910379,196.33333333333334,11.39047619047619,1067.4,0.0
180,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.49310386189145294,0.7915520166232418,197.93333333333334,10.933333333333334,1053.0,0.0
181,silouette,reg_balanced,30,14,small_world,disc,05,0.49310386189145294,0.7915520166232418,197.93333333333334,10.933333333333334,1053.0,0.0
182,bethe_hessian,reg_balanced,13,7,small_world,disc,05,0.5148382567079419,0.7940898421923519,198.26666666666668,10.071428571428571,1017.8,0.0
183,silouette,reg_balanced,14,5,small_world,disc,05,0.5148382567079419,0.7940898421923519,198.26666666666668,10.071428571428571,1017.8,0.0
184,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.47235995275121184,0.786321660764214,199.6,11.9,1098.6,0.0
185,silouette,reg_balanced,13,6,small_world,disc,05,0.47235995275121184,0.786321660764214,199.6,11.9,1098.6,0.0
186,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.4965784495386287,0.7797220725562031,198.73333333333332,10.666666666666666,1044.2,0.0
187,silouette,reg_balanced,11,5,small_world,disc,05,0.4965784495386287,0.7797220725562031,198.73333333333332,10.666666666666666,1044.2,0.0
188,bethe_hessian,reg_balanced,9,5,small_world,disc,05,0.38992515577983117,0.7806025816845527,197.66666666666666,16.31904761904762,1278.4,0.0
189,silouette,reg_balanced,12,5,small_world,disc,05,0.38992515577983117,0.7806025816845527,197.66666666666666,16.31904761904762,1278.4,0.0
190,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.5073701837687531,0.7973058980613733,195.33333333333334,10.261904761904763,1017.0,0.0
191,silouette,reg_balanced,10,5,small_world,disc,05,0.5073701837687531,0.7973058980613733,195.33333333333334,10.261904761904763,1017.0,0.0
192,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.5609547093076117,0.7912585508166596,198.4,8.223809523809523,940.6,0.0
193,silouette,reg_balanced,21,12,small_world,disc,05,0.5609547093076117,0.7912585508166596,198.4,8.223809523809523,940.6,0.0
194,bethe_hessian,reg_balanced,12,6,small_world,disc,05,0.5206760236584144,0.7817065424350211,199.13333333333333,9.676190476190476,1003.8,0.0
195,silouette,reg_balanced,12,5,small_world,disc,05,0.5206760236584144,0.7817065424350211,199.13333333333333,9.676190476190476,1003.8,0.0
196,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.44586617841663745,0.7774407695856448,199.33333333333334,13.095238095238095,1147.4,0.15
197,silouette,reg_balanced,21,10,small_world,disc,05,0.44586617841663745,0.7774407695856448,199.33333333333334,13.095238095238095,1147.4,0.15
198,bethe_hessian,reg_balanced,11,6,small_world,disc,05,0.4275215974232872,0.7824686618065595,199.0,14.176190476190476,1192.4,0.0
199,silouette,reg_balanced,10,5,small_world,disc,05,0.4275215974232872,0.7824686618065595,199.0,14.176190476190476,1192.4,0.0
200,bethe_hessian,reg_balanced,11,6,scale_free,full,01,0.46849912313220476,0.5156883888265006,198.53333333333333,11.757142857142858,792.6,74.2
201,silouette,reg_balanced,9,3,scale_free,full,01,0.46849912313220476,0.5156883888265006,198.53333333333333,11.757142857142858,792.6,74.2
202,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.4614093954074383,0.4948723345114839,196.33333333333334,11.90952380952381,779.8,77.35
203,silouette,reg_balanced,11,4,scale_free,full,01,0.4614093954074383,0.4948723345114839,196.33333333333334,11.90952380952381,779.8,77.35
204,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.43063479897919643,0.440313169311944,196.0,12.728571428571428,764.8,89.45
205,silouette,reg_balanced,11,4,scale_free,full,01,0.43063479897919643,0.440313169311944,196.0,12.728571428571428,764.8,89.45
206,bethe_hessian,reg_balanced,12,6,scale_free,full,01,0.4512172226280334,0.46276138300462605,198.6,12.242857142857142,771.2,84.7
207,silouette,reg_balanced,12,4,scale_free,full,01,0.4512172226280334,0.46276138300462605,198.6,12.242857142857142,771.2,84.7
208,bethe_hessian,reg_balanced,11,6,scale_free,full,01,0.45984350852767153,0.4570567187404025,198.66666666666666,12.119047619047619,741.2,90.95
209,silouette,reg_balanced,10,5,scale_free,full,01,0.45984350852767153,0.4570567187404025,198.66666666666666,12.119047619047619,741.2,90.95
210,bethe_hessian,reg_balanced,12,6,scale_free,full,01,0.49563003573919534,0.5453899819753113,196.53333333333333,10.280952380952382,779.2,60.55
211,silouette,reg_balanced,12,5,scale_free,full,01,0.49563003573919534,0.5453899819753113,196.53333333333333,10.280952380952382,779.2,60.55
212,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.6389801978910957,0.7330030986335636,198.6,5.757142857142857,789.4,12.05
213,silouette,reg_balanced,13,5,scale_free,full,01,0.6389801978910957,0.7330030986335636,198.6,5.757142857142857,789.4,12.05
214,bethe_hessian,reg_balanced,15,8,scale_free,full,01,0.7283492432564552,0.7068578965068443,193.46666666666667,3.5476190476190474,661.6,16.95
